id,image_path,mask_path,image_name,mask_name,source,mask_ratio,height,width
001,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/images/train_001.jpg,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/mask/mask_001.png,train_001.jpg,mask_001.png,ara,0.1514332257293161,2296,4080
002,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/images/train_002.jpg,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/mask/mask_002.png,train_002.jpg,mask_002.png,ara,0.19831404320987656,720,720
003,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/images/train_003.jpg,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/mask/mask_003.png,train_003.jpg,mask_003.png,ara,0.2001485339506173,720,720
004,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/images/train_004.jpg,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/mask/mask_004.png,train_004.jpg,mask_004.png,ara,0.0330125,400,600
005,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/images/train_005.jpg,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/mask/mask_005.png,train_005.jpg,mask_005.png,ara,0.21113011587771202,312,416
006,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/images/train_006.jpg,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/mask/mask_006.png,train_006.jpg,mask_006.png,ara,0.21338734567901235,720,720
007,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/images/train_007.jpg,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/mask/mask_007.png,train_007.jpg,mask_007.png,ara,0.23986666666666667,225,400
008,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/images/train_008.jpg,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/mask/mask_008.png,train_008.jpg,mask_008.png,ara,0.12567191666666666,4000,3000
009,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/images/train_009.jpg,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/mask/mask_009.png,train_009.jpg,mask_009.png,ara,0.17736574476001488,733,1100
010,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/images/train_010.jpg,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/mask/mask_010.png,train_010.jpg,mask_010.png,ara,0.3024608604536489,312,416
011,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/images/train_011.jpg,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/mask/mask_011.png,train_011.jpg,mask_011.png,ara,0.23804444444444445,300,225
012,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/images/train_012.jpg,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/mask/mask_012.png,train_012.jpg,mask_012.png,ara,0.04490315273668639,4160,3120
013,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/images/train_013.jpg,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/mask/mask_013.png,train_013.jpg,mask_013.png,ara,0.06942492603550296,260,416
014,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/images/train_014.jpg,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/mask/mask_014.png,train_014.jpg,mask_014.png,ara,0.10457744360902256,665,1000
015,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/images/train_015.jpg,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/mask/mask_015.png,train_015.jpg,mask_015.png,ara,0.06554209812623274,4160,3120
016,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/images/train_016.jpg,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/mask/mask_016.png,train_016.jpg,mask_016.png,ara,0.6740054473423572,233,416
017,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/images/train_017.jpg,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/mask/mask_017.png,train_017.jpg,mask_017.png,ara,0.05786844135802469,720,720
018,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/images/train_018.jpg,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/mask/mask_018.png,train_018.jpg,mask_018.png,ara,0.20619020061728396,720,720
019,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/images/train_019.jpg,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/mask/mask_019.png,train_019.jpg,mask_019.png,ara,0.308363964218254,1388,2287
020,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/images/train_020.jpg,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/mask/mask_020.png,train_020.jpg,mask_020.png,ara,0.0029265122873345937,2760,3680
021,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/images/train_021.jpg,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/mask/mask_021.png,train_021.jpg,mask_021.png,ara,0.04510416666666667,720,720
022,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/images/train_022.jpg,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/mask/mask_022.png,train_022.jpg,mask_022.png,ara,0.21384825036809624,274,466
023,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/images/train_023.jpg,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/mask/mask_023.png,train_023.jpg,mask_023.png,ara,0.2413631040433925,312,416
024,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/images/train_024.jpg,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/mask/mask_024.png,train_024.jpg,mask_024.png,ara,0.1928,300,400
025,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/images/train_025.jpg,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/mask/mask_025.png,train_025.jpg,mask_025.png,ara,0.01300525,4000,3000
026,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/images/train_026.jpg,/kaggle/input/competitions/data-science-ara-7-0/dataset/dataset/train/mask/mask_026.png,train_026.jpg,mask_026.png,ara,0.07378413153353057,4160,3120
